category,name,description,price,tags
Закуски,Брускетта,Хрустящий хлеб с томатами и базиликом,450,вегетарианское,итальянское
Закуски,Карпаччо,Тонко нарезанная говядина с пармезаном,650,мясное,итальянское
Закуски,Салат Цезарь,Классический салат с курицей и соусом цезарь,550,мясное,салат
Основные блюда,Стейк Рибай,Сочный стейк из говядины с овощами,1200,мясное,премиум
Основные блюда,Паста Карбонара,Спагетти с беконом и сливочным соусом,750,мясное,итальянское
Основные блюда,Лосось на гриле,Филе лосося с овощами и рисом,950,рыбное,здоровое
Десерты,Тирамису,Классический итальянский десерт,450,сладкое,итальянское
Десерты,Чизкейк,Нью-йоркский чизкейк с ягодным соусом,400,сладкое,классическое
Напитки,Капучино,Классический итальянский кофе,250,горячий,кофе
Напитки,Мохито,Коктейль с мятой и лаймом,350,алкогольный,коктейль 
